cluster,Invierno,Otoño,Primavera,Verano
0,19.37,27.15,27.43,26.05
1,33.86,18.61,25.59,21.95
2,63.18,10.11,26.71,0.0
3,54.32,15.69,24.24,5.75
4,24.19,24.61,26.47,24.72
5,50.48,12.02,16.62,20.88
6,41.26,19.15,25.62,13.97
7,55.05,8.66,13.97,22.32
8,27.39,17.6,21.96,33.05
