CUPS,Fecha_Hora,Posicion_DataFrame
6fadd3d6b297,2023-07-28 05,"(np.int64(60), np.int64(2141))"
ad7b0d773a4a,2023-07-30 06,"(np.int64(90), np.int64(2190))"
