cluster,Invierno,Otoño,Primavera,Verano
0,54.69,15.86,26.43,3.02
1,24.94,27.52,28.81,18.73
2,23.76,24.6,27.32,24.32
3,29.1,24.51,25.72,20.67
4,26.79,22.05,24.16,27.0
5,20.88,23.36,24.02,31.74
6,18.44,26.77,25.75,29.04
7,18.78,27.25,27.85,26.12
8,55.21,9.4,12.14,23.25
9,58.56,11.71,18.9,10.83
10,61.11,11.76,27.12,0.0
11,51.43,11.76,14.9,21.91
12,46.8,13.21,19.5,20.48
13,31.55,22.08,29.2,17.17
14,27.88,15.98,21.84,34.3
15,29.86,13.97,19.5,36.67
16,36.5,18.39,26.95,18.16
