cups,0,1,2,3,4,5,6
a97896649004,93.27,0.69,0.0,0.0,0.0,6.04,0.0
ab6c9e4d8e64,47.95,6.44,0.0,0.0,0.0,43.15,2.47
ab80ec0882ca,0.55,12.19,55.48,0.14,3.84,11.23,16.58
acb5ee1b35fd,92.88,0.14,0.0,0.0,0.0,6.99,0.0
ad7b0d773a4a,58.36,0.68,0.0,0.0,0.0,38.9,2.05
add697153a07,85.14,1.44,0.16,0.0,0.16,12.3,0.8
b1a8b5dfd391,5.21,15.36,39.92,0.82,0.14,7.0,31.55
b46938568ddc,29.9,0.41,0.0,0.0,0.0,69.68,0.0
b476034a2e3d,10.95,4.98,2.49,0.0,0.0,33.33,48.26
b6b8b829ca63,95.75,0.14,0.0,0.0,0.0,4.12,0.0
b6e12ac4aa4b,28.3,8.15,6.0,0.0,3.84,41.97,11.75
ba38270a360e,49.71,1.14,0.0,0.0,1.14,42.29,5.71
bbfd7c7fa784,89.73,0.0,0.0,0.0,0.0,10.27,0.0
bf03a8cf21da,3.15,38.36,11.78,0.0,0.14,36.58,10.0
c1244d6dea7a,70.94,0.83,0.14,0.0,0.0,25.34,2.75
c32f47bda75b,22.47,3.56,0.14,0.0,0.68,69.45,3.7
c422e08d8f19,43.07,18.52,0.0,0.0,0.0,31.0,7.41
c4a177fb3092,4.95,32.01,11.68,0.41,15.38,23.21,12.36
c5fa6b7264f9,60.58,2.06,5.36,0.0,0.0,12.77,19.23
c762bb72bd52,26.1,13.46,17.99,0.0,0.0,34.89,7.55
c8b50ccf6f9c,91.82,0.0,0.0,0.0,0.0,8.18,0.0
cc26481a6b26,79.56,0.41,0.0,0.0,0.0,19.75,0.27
ce0e3832ae5b,71.98,3.16,0.0,0.0,0.0,21.43,3.43
ceaddbf817fc,15.7,42.98,0.0,0.0,0.0,39.67,1.65
cf5c2db7d01b,32.65,2.74,0.0,0.0,0.0,63.79,0.82
d0fbcc1108d8,87.96,0.0,0.0,0.0,0.0,11.11,0.93
d15c67c0173b,67.9,4.12,0.0,0.0,0.0,27.71,0.27
d18448fa2230,88.61,2.06,0.0,0.0,0.0,6.72,2.61
d4032a0b3dea,35.8,1.78,0.41,0.0,0.14,40.74,21.12
d55816977df1,19.07,0.82,0.0,37.31,3.43,34.84,4.53
d60abb43b0bc,79.59,0.41,0.0,0.0,0.0,19.86,0.14
d8555c97f799,3.15,7.81,30.82,0.0,0.27,50.14,7.81
e00164f28d81,38.27,0.27,0.0,0.0,44.99,16.05,0.41
e1c96aca8aa9,8.19,33.48,7.76,0.0,0.0,22.56,28.02
e2972a4aa5d5,82.03,5.08,0.0,0.0,0.0,11.39,1.51
