cups,0,1,2,3,4,5,6,7,8,9,10,11,12
5f23ca5327cd,0.0,0.0,0.0,0.0,0.69,0.0,0.14,10.12,5.27,0.0,52.43,31.35,0.0
5f4793761400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.62,0.0,14.81,84.26,0.0
609781c124a2,0.0,0.0,0.0,0.14,5.82,0.0,0.0,31.72,0.69,0.0,46.68,14.96,0.0
60e6d6d2541a,2.65,0.0,10.75,8.8,17.74,10.2,6.28,17.88,16.62,3.35,4.19,1.54,0.0
65e32355a97a,0.0,0.0,1.32,19.59,6.29,1.46,1.75,12.43,27.19,0.88,17.11,11.84,0.15
6906cceeeb78,0.0,0.0,0.14,0.14,1.51,0.14,0.0,13.48,14.72,0.0,39.75,30.12,0.0
6c1405ef7062,0.0,0.0,0.83,1.93,0.41,0.0,0.14,1.38,12.55,6.62,23.72,52.41,0.0
6f00c403abd0,0.3,0.0,10.65,10.21,32.69,5.18,6.51,16.86,9.47,5.47,2.51,0.0,0.15
6fadd3d6b297,0.14,0.0,0.0,1.1,3.02,0.55,0.41,5.91,4.4,0.41,62.91,21.15,0.0
71d3885d1431,0.0,0.0,0.0,3.59,3.04,0.55,5.25,24.31,8.43,0.0,43.78,11.05,0.0
71d9a9f96bca,0.0,0.0,0.41,1.65,2.75,0.28,0.83,18.87,21.49,0.41,35.81,17.49,0.0
736f2de66813,0.0,0.0,0.14,2.62,2.2,0.0,0.41,4.27,25.48,0.41,63.64,0.83,0.0
7766e16a2d4a,0.29,0.0,3.45,9.06,4.03,2.16,4.6,8.35,14.53,4.89,25.76,22.59,0.29
78d0d9825060,0.0,0.0,0.0,0.0,0.23,0.0,0.0,4.18,0.93,0.0,30.63,64.04,0.0
7a2e7beb0672,0.0,0.0,0.15,7.67,39.38,1.18,0.88,35.55,13.42,0.0,1.47,0.29,0.0
7a6739bd338e,0.0,0.0,0.84,8.84,12.62,0.28,0.14,26.93,46.0,0.98,3.23,0.14,0.0
7bd57f96a653,0.0,0.0,0.18,0.0,0.18,0.0,0.0,1.42,0.18,0.88,16.64,80.53,0.0
7d4cfc37189e,12.34,0.0,7.57,6.73,24.4,14.73,3.93,12.9,9.26,5.47,1.82,0.84,0.0
806dc54ccb69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,16.79,82.48,0.0
83c7fbada9b4,0.0,0.0,0.0,2.22,3.89,0.56,0.56,36.67,16.67,0.0,28.89,10.56,0.0
84736eaf5a9d,0.27,0.0,4.29,13.14,13.4,5.63,2.14,30.56,21.18,0.27,9.12,0.0,0.0
84bc6f535519,26.62,0.0,14.63,16.31,6.95,24.94,4.56,1.44,3.36,0.96,0.24,0.0,0.0
8748f2316ba9,0.66,0.0,3.06,21.23,30.2,12.25,10.28,9.19,10.94,1.09,0.44,0.66,0.0
883788a8f885,0.28,0.0,4.55,19.15,13.64,5.65,9.37,9.78,21.07,4.68,8.54,3.31,0.0
90a0336aae39,0.0,0.0,0.17,1.36,2.88,0.51,0.0,22.88,27.97,2.54,27.29,14.41,0.0
95ee02b21baa,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0.0,6.45,92.96,0.0
960038979a08,0.32,0.0,5.79,3.22,12.54,3.22,4.82,4.18,13.5,4.18,11.9,36.01,0.32
99d555540f0d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,83.33,0.0
9a3b34521cfa,0.0,0.0,0.14,2.37,8.65,0.0,0.14,13.67,40.73,0.0,34.03,0.28,0.0
9c890590d367,0.0,0.0,0.0,0.31,0.62,0.0,0.0,1.85,6.64,0.0,6.02,84.57,0.0
9fa8e9422c8d,0.0,0.0,0.15,1.52,6.53,0.91,0.0,34.5,19.45,0.61,20.97,15.35,0.0
a1c7814da365,0.14,0.0,1.92,14.38,15.21,15.21,5.62,19.73,14.66,0.55,4.11,8.49,0.0
a3551673db03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,12.23,87.29,0.0
a436c4d5cbeb,0.0,0.0,5.0,0.97,2.36,0.0,0.14,8.47,22.78,16.39,39.17,4.72,0.0
a97896649004,0.0,0.0,0.0,0.0,1.69,0.0,0.0,1.01,2.03,0.0,16.55,78.72,0.0
ab6c9e4d8e64,0.0,0.0,0.0,2.6,1.1,0.0,0.0,13.42,13.29,0.27,40.82,28.49,0.0
ab80ec0882ca,41.51,0.0,4.25,4.25,12.33,12.74,5.48,10.41,6.71,0.82,1.1,0.41,0.0
acb5ee1b35fd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.7,0.0,18.23,80.22,0.0
ad7b0d773a4a,0.0,0.0,0.0,0.0,0.87,0.0,0.0,9.17,7.28,0.0,44.4,38.28,0.0
add697153a07,0.0,0.0,0.75,0.0,0.5,0.25,0.0,2.75,11.0,1.25,12.0,71.5,0.0
b1a8b5dfd391,23.05,0.27,0.55,13.85,21.67,17.28,5.62,7.27,3.7,0.82,1.23,4.66,0.0
b46938568ddc,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,54.04,0.0,36.96,8.7,0.0
b476034a2e3d,0.0,0.0,0.0,4.06,11.68,3.05,1.02,59.39,5.58,0.0,10.15,5.08,0.0
b6b8b829ca63,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.53,0.18,0.0,12.39,86.73,0.0
b6e12ac4aa4b,3.71,0.0,3.47,2.72,7.18,3.22,2.48,20.05,7.43,6.44,24.01,19.31,0.0
ba38270a360e,0.0,0.0,0.0,0.59,1.18,0.0,0.0,19.53,7.1,2.37,33.73,34.32,1.18
bbfd7c7fa784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.43,0.0,21.3,76.96,0.0
bf03a8cf21da,0.0,0.0,3.97,15.62,7.95,2.6,14.79,11.92,29.73,5.34,6.85,1.1,0.14
c1244d6dea7a,0.18,0.0,0.0,0.35,1.58,0.53,0.0,11.93,1.58,0.0,47.02,36.84,0.0
c32f47bda75b,0.0,0.0,0.41,0.27,0.96,0.14,0.0,17.97,25.79,3.43,42.39,8.64,0.0
c422e08d8f19,0.14,0.0,0.0,5.28,10.14,0.28,0.0,8.61,21.94,0.14,24.44,29.03,0.0
c4a177fb3092,9.09,0.41,15.01,10.47,10.61,7.58,3.99,6.34,17.36,8.68,6.89,3.31,0.28
c5fa6b7264f9,2.2,0.0,0.16,0.94,15.57,7.55,1.42,7.39,1.73,0.0,17.61,45.44,0.0
c762bb72bd52,0.0,0.0,0.0,4.76,7.37,0.77,25.96,15.36,10.91,0.15,24.88,9.83,0.0
