cluster,Invierno,Otoño,Primavera,Verano
0,61.78,9.87,16.03,12.31
1,61.07,12.08,26.85,0.0
2,30.06,14.38,18.52,37.04
3,38.63,17.88,25.77,17.72
4,32.91,18.33,23.97,24.79
5,46.6,11.99,16.74,24.67
6,56.23,9.67,17.01,17.09
7,25.45,24.18,26.21,24.15
8,26.03,21.86,24.7,27.41
9,33.33,18.34,17.3,31.02
10,20.91,27.25,27.53,24.31
11,17.95,27.18,27.83,27.04
12,51.29,16.24,32.18,0.29
