CUPS,CLUSTER
0114f2a9ef8e,0
011952cf0a27,0
02b3106d73c7,0
03c8338d7f1d,0
04666163609d,0
07efa654691a,0
08565e582514,0
0d9678df292f,0
0e6a45c8d43b,0
11c65598e4aa,0
127a14c3f85b,0
17a509e5b3fd,0
19153be7ac88,0
1a0b9aa571b5,0
1bd2d65d3ee4,0
1c8a857523c6,0
20eff1413834,0
259e3b12740a,0
27233c281b84,0
277f70c6024c,0
29abdc229bd7,0
2b6fe1934f34,0
2e1cb9ed40da,0
2e4065ba71b8,0
2e8f61c97ff0,0
30c53527a644,0
31a15c8a5985,0
320c764758d0,0
3341083403f9,0
3395624729d9,0
3446f68001b1,0
35d9bd5323b9,0
38194b2cee3c,0
3834b65f3a70,0
3a04ebb76f6a,0
426fb012b93d,0
43418b1f8c9d,0
43c6b2a5a249,0
49771a22ec98,0
4b5a8b35b128,0
4d0a1993dfcd,0
4df4744c39fb,0
4f514478e276,0
5050e482704a,0
51bcc44b2656,0
522ec2c9ceb6,0
524130194799,0
540f95348569,0
56bf498d0564,0
5937660386d6,0
5b13f13a01ed,0
5ea12751c266,0
5f23ca5327cd,0
5f4793761400,0
609781c124a2,0
60e6d6d2541a,0
65e32355a97a,0
6906cceeeb78,0
6c1405ef7062,0
6f00c403abd0,0
6fadd3d6b297,0
71d3885d1431,0
71d9a9f96bca,0
736f2de66813,0
7766e16a2d4a,0
78d0d9825060,0
7a2e7beb0672,0
7a6739bd338e,0
7bd57f96a653,0
7d4cfc37189e,0
806dc54ccb69,0
83c7fbada9b4,0
84736eaf5a9d,0
84bc6f535519,0
8748f2316ba9,0
883788a8f885,0
90a0336aae39,0
95ee02b21baa,0
960038979a08,0
99d555540f0d,0
9a3b34521cfa,0
9c890590d367,0
9fa8e9422c8d,0
a1c7814da365,0
a3551673db03,0
a436c4d5cbeb,0
a97896649004,0
ab6c9e4d8e64,0
ab80ec0882ca,2
acb5ee1b35fd,0
ad7b0d773a4a,1
add697153a07,0
b1a8b5dfd391,0
b46938568ddc,0
b476034a2e3d,0
b6b8b829ca63,0
b6e12ac4aa4b,0
ba38270a360e,0
bbfd7c7fa784,0
bf03a8cf21da,0
c1244d6dea7a,0
c32f47bda75b,0
c422e08d8f19,0
c4a177fb3092,0
c5fa6b7264f9,0
c762bb72bd52,0
c8b50ccf6f9c,0
cc26481a6b26,0
ce0e3832ae5b,0
cf5c2db7d01b,0
d15c67c0173b,0
d18448fa2230,0
d4032a0b3dea,0
d55816977df1,0
d60abb43b0bc,0
d8555c97f799,0
e00164f28d81,0
e1c96aca8aa9,0
e2972a4aa5d5,0
e7b153decb4b,0
e9ae574ff977,0
e9ba19111ba2,0
eecaa816b74b,0
f01cc7652e9e,0
f031c514ae35,0
f1a487408720,0
f695586984d6,0
fc6f5ded11aa,0
fef3a0e21aab,0
ceaddbf817fc,0
d0fbcc1108d8,0
