cups,media_invierno,std_invierno,skewness_invierno,kurtosis_invierno,energia_fft_invierno,frecuencia_dominante_invierno,mediana_invierno,p25_invierno,p75_invierno,media_otoño,std_otoño,skewness_otoño,kurtosis_otoño,energia_fft_otoño,frecuencia_dominante_otoño,mediana_otoño,p25_otoño,p75_otoño,media_primavera,std_primavera,skewness_primavera,kurtosis_primavera,energia_fft_primavera,frecuencia_dominante_primavera,mediana_primavera,p25_primavera,p75_primavera,media_verano,std_verano,skewness_verano,kurtosis_verano,energia_fft_verano,frecuencia_dominante_verano,mediana_verano,p25_verano,p75_verano,media_anual,std_anual,skewness_anual,kurtosis_anual,energia_fft_anual,frecuencia_dominante_anual,mediana_anual,p25_anual,p75_anual
0114f2a9ef8e,0.19326836053372523,0.13127011708510772,0.23489493912040368,0.08515465815089718,0.03946904689390646,0.24895688456189152,0.1731713621090721,0.15543143297380585,0.17049303726006773,0.45538469958443545,0.18848559408061347,0.3019769242689015,0.08173556453616539,0.13381029760913563,0.24896836313617607,0.6090156393744249,0.7852564102564102,0.33897959183673465,0.3205326893498503,0.17108950991354896,0.15764909123491377,0.02507307265886129,0.08721083661119333,0.24897959183673465,0.3002444987775061,0.6513409961685824,0.24878345498783458,0.3487461478135565,0.23253652439475636,0.04065876633448873,0.0037441437355289265,0.1292538487883255,0.24625850340136052,0.35231895850284783,0.28084714548802947,0.3087030452929355,0.31057115833647586,0.1559975414820524,0.09473581165051878,0.0053605660012586666,0.08752638640894606,0.24905789653991092,0.2967177242888403,0.7203525641025642,0.2576900754497969
011952cf0a27,0.20195576308828211,0.12101220109172385,0.2950865910747052,0.21926784385538411,0.03975230962109798,0.24895688456189152,0.19126389247867667,0.19799691833590138,0.19458035378246144,0.4845168866700073,0.21360265238645135,0.21817265062113325,0.06004583394512821,0.1545730489208365,0.24896836313617607,0.6660533578656854,0.701923076923077,0.4016326530612245,0.37605158276521455,0.19134067479811437,0.20072304380987463,0.08354315067224061,0.114014216292383,0.24897959183673465,0.3599022004889975,0.896551724137931,0.3126520681265207,0.3626841787281011,0.28903096746100343,0.0319671804580663,0.0034352759333904845,0.14997412409791308,0.24897959183673465,0.3572009764035802,0.27509208103130744,0.34503014376255986,0.3350007757748229,0.1678534997331323,0.09468047000432565,0.010047536957551124,0.10063685748906892,0.249743062692703,0.325601750547046,0.7852564102564104,0.29947765525246667
02b3106d73c7,0.3309465554583443,0.2760532172986803,0.08392704423818052,0.011894277516718847,0.12739439358126015,0.24895688456189152,0.27759110881364696,0.07935285053929121,0.3975348136996613,0.4832731059414585,0.3711808239271107,0.24744399698762018,0.033288126746041036,0.23195543330617863,0.24896836313617607,0.3201471941122355,0.3782051282051282,0.4263265306122449,0.3697953473145993,0.33520186594311313,0.12638939014758574,0.012243231360668468,0.17335437232047723,0.24897959183673465,0.1496332518337408,0.24521072796934867,0.3619221411192214,0.17663489624599663,0.3784280799998699,0.21007916535457882,0.08778699313719875,0.08645175025273391,0.4965986394557823,0.09764035801464604,0.08839779005524862,0.12490338537641055,0.33799654042209215,0.32630017383596704,0.08904778577593513,0.006266915206646543,0.1674904567646034,0.00034258307639602604,0.13041575492341356,0.2692307692307693,0.3505513639001741
03c8338d7f1d,0.11445708189879045,0.1358472134533386,0.2788307697465348,0.08600011145836901,0.024454475156441023,0.4993045897079277,0.05117601447402429,0.06471494607087827,0.11065111027474596,0.21031222809767458,0.2102810003785597,0.40939648797634487,0.11912064642519468,0.06795561689369005,0.24896836313617607,0.16927322907083714,0.2756410256410256,0.10285714285714284,0.16638737044119284,0.18162287492937437,0.2362118593291267,0.03814972432788444,0.04887176911911643,0.24897959183673465,0.08997555012224936,0.26053639846743293,0.07785888077858881,0.11997886841279684,0.2057567128720526,0.104183707803255,0.009746687065687487,0.03401117938091266,0.49387755102040815,0.10577705451586655,0.0856353591160221,0.07852836605348587,0.14513587897626756,0.1615855882119426,0.14112292647061092,0.007720818070325474,0.04221920000618141,0.4984583761562179,0.07964989059080962,0.23397435897435898,0.07719094602437607
04666163609d,0.18803259310084464,0.2253715244824745,0.17494974443495168,0.03309391313775941,0.06248590151661122,0.24895688456189152,0.06384078573274747,0.040832049306625574,0.2247835905156191,0.19878982224263644,0.21245843797793718,0.3472952112073968,0.08927054667058268,0.06647625125534845,0.24896836313617607,0.10855565777368903,0.16025641025641027,0.14040816326530609,0.1798390560913425,0.20647922973944302,0.22007243950372465,0.03743987812570243,0.0596237727918018,0.24897959183673465,0.07041564792176039,0.13793103448275862,0.13199513381995134,0.13807009430595632,0.19906172689756457,0.0658498783582472,0.0055676750990265155,0.03742338489404783,0.2476190476190476,0.1017087062652563,0.08011049723756905,0.1279950533312722,0.18068505413763986,0.2181227893686056,0.12021173461925241,0.005875805952848034,0.06834895587232001,0.24940047961630696,0.06564551422319474,0.14423076923076922,0.13580963435867674
07efa654691a,0.25566346874556656,0.2752309837277049,0.12735191008507518,0.01672902263314985,0.09936279722175645,0.4993045897079277,0.09201344016541742,0.05296610169491525,0.310500564546481,0.47793017467365834,0.44229657835476965,0.24743159916792365,0.02927991398079183,0.2774991520662001,0.499312242090784,0.262189512419503,0.25641025641025644,0.38040816326530613,0.41369551775024954,0.3921150833689403,0.10822763840464565,0.005626086668430494,0.22469645983310468,0.4993197278911564,0.15452322738386304,0.278735632183908,0.39111922141119226,0.2757104523021296,0.596761723796108,0.04479921599613556,0.0021398236737501576,0.19872096411065704,0.0,0.09926769731489014,0.058011049723756904,0.21363425568093986,0.34189976195068017,0.36275176383919183,0.07082612626942753,0.0012863346166620492,0.18939325271127497,0.24905789653991092,0.12253829321663018,0.20192307692307693,0.3483749274521184
08565e582514,0.08031286850436481,0.1277487056405187,0.4435408312334828,0.20914664354623544,0.01827344424514071,0.24895688456189152,0.03411734298268286,0.0362095531587057,0.06435829883327061,0.19015721306019792,0.2122579142938647,0.464108973179454,0.181623892317832,0.06476119032279277,0.24896836313617607,0.12695492180312787,0.1762820512820513,0.12653061224489795,0.143644213848243,0.17847569130435628,0.32485416163884717,0.08671443826059727,0.043768664470915195,0.24897959183673465,0.06943765281173594,0.13409961685823757,0.09854014598540146,0.19477506416528162,0.4299441820872113,0.07163001333503964,0.005069675640040233,0.10721577370574387,0.2476190476190476,0.10089503661513424,0.0679097605893186,0.11995671664863194,0.14199386754403578,0.18999836946030016,0.16095860616607166,0.0107234833484851,0.05037109646604268,0.24940047961630696,0.06301969365426695,0.1346153846153846,0.09576320371445152
0d9678df292f,0.22832120745385712,0.24805577298424034,0.18646130504134711,0.049486133172987674,0.08088353829675864,0.24895688456189152,0.13181700697854742,0.05778120184899845,0.2439781708694016,0.3690809705079493,0.3305190595998279,0.2641758676620086,0.042541105589946455,0.16546987641991026,0.24896836313617607,0.1987120515179393,0.21153846153846156,0.3381632653061224,0.3895658394302184,0.36323100915659684,0.12826211607760432,0.011808026981525083,0.19702342888969154,0.24897959183673465,0.1496332518337408,0.24521072796934867,0.3614659367396593,0.2327918510651536,0.6179238418994826,0.07138161372101257,0.006128887493318989,0.18927002208930818,0.24625850340136052,0.08624898291293734,0.0,0.20915133714639045,0.2964576218981806,0.3297466914406003,0.0940424527477758,0.00398489004353969,0.1532812768954581,0.24905789653991092,0.099781181619256,0.16666666666666669,0.2851131746952989
0e6a45c8d43b,0.21394886436359878,0.24322045592625116,0.30795969014252705,0.12214457040979564,0.07513898572984745,0.24895688456189152,0.1059705350219695,0.1093990755007704,0.1878057960105382,0.44844459732194325,0.3292726431896144,0.36743297030727595,0.10758216178919006,0.19335840013171893,0.24896836313617607,0.39374425022999077,0.5416666666666667,0.3226530612244898,0.3666157005182353,0.32320469410075553,0.21547914624885223,0.035554919924812016,0.16575049578021797,0.24897959183673465,0.21613691931540338,0.5660919540229886,0.26338199513382,0.2992938375826595,0.37648021330009546,0.07843971267345883,0.007297083617141017,0.13555004192367687,0.2476190476190476,0.22538649308380798,0.19521178637200737,0.2528984387076828,0.31552128782504474,0.28333095664930613,0.13585440216277223,0.008949191160920848,0.13703457767800303,0.24940047961630696,0.19343544857768052,0.5032051282051283,0.24738827626233312
11c65598e4aa,0.025177617758115473,0.016786159571318526,0.26141016004226386,0.14211454707171975,0.0010609021859867528,1.0,0.025846471956577924,0.027734976887519254,0.02747459540835529,0.045254257087446285,0.014105619173364097,0.30605880867553137,0.12941416951408954,0.0031623538730798434,0.001375515818431912,0.062557497700092,0.13141025641025642,0.03999999999999999,0.04748252341758126,0.04186790205883126,0.9999999999999999,1.0,0.004983037317425715,0.24897959183673465,0.041075794621026875,0.09961685823754789,0.043795620437956206,0.04653449496799489,0.04066459533890847,0.5249041420202756,0.3118599162139277,0.004851570038055638,0.004081632653061224,0.06346623270951993,0.049723756906077346,0.04452001855000772,0.036209583328127265,0.020821827706010154,0.5042900243526337,0.20087081092055084,0.002937707136102175,0.24940047961630696,0.03326039387308534,0.09935897435897437,0.03656413232733604
127a14c3f85b,0.31223200634081694,0.6546043696771175,0.2534986428690722,0.05285705951054723,0.36482933588040484,0.24895688456189152,0.018609459808736108,0.023882896764252693,0.034625517500940915,0.23581252837641448,0.7224309268803618,0.6685410185680198,0.3401980399435756,0.46477868442886383,0.24896836313617607,0.04231830726770928,0.11858974358974358,0.037551020408163265,0.2157024235118058,0.5185304401065911,0.34779133362603537,0.08169902643093355,0.2489319655977267,0.24897959183673465,0.017603911980440097,0.05747126436781612,0.038929440389294405,0.042283449271300275,0.07319226112358629,0.1431418975844942,0.01959148104848345,0.006382778093954694,0.0,0.043938161106590726,0.04051565377532228,0.027825011593754834,0.22065215766874172,0.6188851628913092,0.19212274458031628,0.012975585985005988,0.3501576378587742,0.24940047961630696,0.01925601750547046,0.0737179487179487,0.02901915264074289
