cups,media_invierno,std_invierno,skewness_invierno,kurtosis_invierno,energia_fft_invierno,frecuencia_dominante_invierno,mediana_invierno,p25_invierno,p75_invierno,media_otoño,std_otoño,skewness_otoño,kurtosis_otoño,energia_fft_otoño,frecuencia_dominante_otoño,mediana_otoño,p25_otoño,p75_otoño,media_primavera,std_primavera,skewness_primavera,kurtosis_primavera,energia_fft_primavera,frecuencia_dominante_primavera,mediana_primavera,p25_primavera,p75_primavera,media_verano,std_verano,skewness_verano,kurtosis_verano,energia_fft_verano,frecuencia_dominante_verano,mediana_verano,p25_verano,p75_verano,media_anual,std_anual,skewness_anual,kurtosis_anual,energia_fft_anual,frecuencia_dominante_anual,mediana_anual,p25_anual,p75_anual
43418b1f8c9d,0.0745599537037037,0.1029462850677823,5.417116812933661,39.17045459605298,69.79877699999999,180.0,0.042,0.03075,0.083,0.0607051282051281,0.0793126524700402,9.164566462733571,105.15182845718802,43.573462,182.0,0.045,0.037,0.062,0.0583573369565217,0.0846283249222155,12.75597415875852,232.30474876823573,46.666222000000005,184.0,0.042,0.035,0.059,0.0712008196721311,0.0537922555491911,6.758060326851562,72.34178868838967,34.974214,2.0,0.061,0.045,0.087,0.0661682098765432,0.0822672299093634,8.666083550051864,115.18084779451212,195.012675,729.0,0.046,0.037,0.075
43c6b2a5a249,0.1884627314814815,0.2955118323443276,3.2004872463182843,10.001736287726697,530.692319,180.0,0.097,0.053,0.162,0.1154665750915751,0.0840490561883086,4.195901772528866,39.96058569158967,89.09310799999999,182.0,0.096,0.063,0.144,0.1286779891304348,0.1607388765539049,6.236730268615706,46.92831582420007,187.21637,184.0,0.096,0.058,0.15,0.1599451992753623,0.0697383936927973,0.5553733712835732,1.517322097206101,134.44914,2.0,0.162,0.104,0.201,0.1480066780821917,0.1784091009966053,5.225902714196547,32.8907871575163,941.4509370000002,730.0,0.11,0.064,0.172
49771a22ec98,0.1962405092592592,0.158029289296847,3.0378901437268984,15.994346204763882,274.24912500000005,360.0,0.167,0.091,0.232,0.1260602106227106,0.1404139070211256,2.3683160664639877,8.993054608081176,155.532433,1.0,0.097,0.0,0.188,0.1498317481884058,0.1519019262444116,2.4447432346452724,8.798215681718391,201.032871,1.0,0.107,0.078,0.195,0.1775867486338797,0.2247099754700876,2.2013495721252414,5.367112752504466,360.28290300000003,2.0,0.123,0.0,0.213,0.1623232738911751,0.1740638845787915,2.556458820887741,9.608046037882556,991.0973319999996,4.0,0.116,0.076,0.204
4b5a8b35b128,0.1836516203703703,0.2177075375789058,3.034782408330599,11.804021272898256,350.457795,180.0,0.104,0.06,0.209,0.2019251373626373,0.2190040730256235,2.951572844950877,10.993419085373873,387.60122899999993,182.0,0.122,0.072,0.234,0.1815604619565217,0.2044127867256853,2.8937600079214314,11.56511179522566,330.0906510000001,184.0,0.106,0.06,0.209,0.3818011775362319,0.2864178331451115,1.278679351059152,2.237775424531474,1005.9971,184.0,0.343,0.15175,0.50725,0.2376249429223744,0.2488408316643822,2.20095456347763,6.103812493610921,2074.146775,2.0,0.134,0.068,0.32
4d0a1993dfcd,0.1021717592592592,0.1029374838984781,2.5368702257739955,8.724042036390983,90.87203800000002,180.0,0.069,0.037,0.138,0.0745176282051282,0.066466994898657,1.107054735991816,3.565011889604082,43.552185,2.0,0.07,0.012,0.118,0.103552536231884,0.0752072977741858,2.081215284563891,8.810504967227065,72.330836,184.0,0.082,0.057,0.145,0.067254781420765,0.0980709450784328,4.637558532046784,34.11806334989566,62.107781,2.0,0.059,0.0,0.095,0.0868510516689529,0.088453367159779,3.02670353667258,18.134519335602743,268.86283999999995,729.0,0.076,0.026,0.124
4df4744c39fb,0.1712784722222222,0.1912155609260357,3.2844726621452622,14.276050680830558,284.686729,1.0,0.116,0.06975,0.183,0.1361092032967033,0.1478179513066195,3.7308185033161743,16.981735767987583,176.361765,5.0,0.115,0.068,0.14525,0.1494891304347826,0.1701101461946767,3.707228527364405,16.122760871629744,226.472184,736.0,0.117,0.07,0.146,0.1740002289377289,0.1914544096640269,3.542430180477289,13.196918508876262,292.35404299999993,8.0,0.123,0.105,0.144,0.1576593978937729,0.176709047796316,3.5888132587579915,15.389764265621722,979.874721,4.0,0.119,0.077,0.151
4f514478e276,0.5793775462962963,0.5721294557805577,1.2497009050486678,3.717956127506768,2864.205167,180.0,0.4695,0.054,0.932,0.3457363834422657,0.3697755092462677,1.5781684241542322,2.9697343565008207,941.014532,153.0,0.1975,0.063,0.51025,0.3545061141304348,0.3986585312140189,1.5421047280332216,2.3393894516274463,1256.807773,184.0,0.163,0.066,0.54025,0.4628917181069958,0.5138607243066045,1.847241310868064,3.4915529747471608,1859.714329,2.0,0.277,0.101,0.595,0.4380017795778105,0.4826027462739088,1.6806789103097572,4.377879987443974,6921.741800999999,679.0,0.237,0.067,0.799
5050e482704a,0.939844675925926,0.6987828891049876,0.2823206834992769,-0.6909349853235311,5925.335937,180.0,0.9615,0.204,1.56425,0.6928418040293041,0.5912371996164472,0.6128460230871586,-1.107502776570573,3623.654325,182.0,0.4415,0.165,1.22625,0.7945317028985507,0.6366789227117237,0.3826643168387972,-1.1454852037011256,4577.805232000001,184.0,0.6415,0.164,1.47,0.6243310688405798,0.4919097788418465,1.0256643711943614,-0.2604120185127319,2789.872094,184.0,0.385,0.264,0.926,0.7621095890410959,0.6202839614118381,0.5969435008807523,-0.714586050485325,16916.667587999997,730.0,0.5485,0.204,1.3682500000000002
51bcc44b2656,0.239212962962963,0.2339839550500214,2.841356812403542,9.800001908674927,483.716158,180.0,0.158,0.118,0.246,0.2140448717948717,0.1984474545497907,3.5561749990115032,16.714324465525365,372.138746,182.0,0.156,0.12,0.219,0.2063052536231884,0.1951237161651054,3.644733202435741,17.996881432816846,356.08470000000005,184.0,0.1535,0.117,0.212,0.2073795537340619,0.1517568190327335,3.257253828881285,15.980930148400557,290.031919,2.0,0.182,0.129,0.24,0.2166325445816186,0.1972736851985227,3.386775000880014,15.301852559465374,1501.9715229999997,729.0,0.163,0.12,0.23
522ec2c9ceb6,0.4177930555555555,0.4490323910282146,1.358504374736494,2.019492782090623,812.5512309999999,270.0,0.219,0.07,0.6975,0.2944537545787545,0.2888849135600653,1.716294049035495,2.9387988073840887,371.6239949999999,182.0,0.1585,0.088,0.427,0.4254812992125984,0.4012383476096692,1.2632533841634697,0.9804282393075768,1042.4969170000002,127.0,0.301,0.098,0.628,0.3537574588477365,0.3288334390364246,1.735150998342565,3.019889588344273,906.9761949999996,486.0,0.191,0.122,0.492,0.373918085106383,0.3714713573800542,1.5711759050898344,2.540321370473124,3133.648338000001,1410.0,0.197,0.101,0.539
