cups,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12
0114f2a9ef8e,2.959567761502088,-4.054553308858825,-1.1406941437342917,0.07733668510331435,0.17897202975691487,-1.9625677305389004,0.48641236905037805,1.3865742177342069,-0.2821539568311273,-0.24837750859645352,-0.5571265490982913,0.15363851944687887
011952cf0a27,3.7798227417438377,-4.748540088629908,-0.7660824165816734,-0.019542173828830358,0.6208763137022675,-1.5585021049596572,0.4928936030631745,2.0162617974310084,-0.028121735083244972,-0.5012235633452397,-0.29892673274325127,-0.2776498958188058
02b3106d73c7,2.4803798140500994,1.2716923037854766,-0.08510168902186387,1.3462620260258804,-1.1727142133266604,-0.5548838387720573,0.15791180141532568,-0.059289737757867576,0.6998763644391874,1.1746607087648637,1.8682656350763445,-0.32339609183694673
03c8338d7f1d,-2.2555286083510957,0.07227295639040508,-1.5316441016503912,2.173252233319282,1.1686069262805117,-0.7994367400903197,0.7533580582114677,-0.4011914944117834,-0.5438596688844707,-1.4559447016476974,0.6533842892524718,-0.45973384494537434
04666163609d,-1.706932912235344,1.317739482604061,-1.1771129624346635,0.5093073423474765,-0.42688822814706673,-0.24191095927902584,0.37289310051763336,-0.8508467921530365,-0.09733972861902128,-0.07536037052208397,0.16188240166737536,0.1425916475571167
07efa654691a,2.56120218876251,1.9596133703407157,-1.2617775128955664,2.020327488007978,0.6777742968895424,1.7504258854088222,-0.17848422881825404,0.8317391206036941,0.768675347622631,0.6597112746208843,-1.0301071813102423,1.5878151535106926
08565e582514,-2.810548377955047,0.29814707677251384,-0.33972158883885684,-0.05465860386621856,0.7004646348247668,0.7470983563243268,-0.727551513523789,-0.32771379943401724,-0.3196571364562625,-0.5588832693712567,-0.14227547485491518,-0.3116175348558948
0d9678df292f,1.4646923808044878,1.7832400724327502,-0.9952361308021603,0.9017462187054425,-0.537274546713654,1.219897080186002,-0.6441014099124279,0.1919326139475512,-0.16784241701345423,-0.02617412290308449,0.37020167156461686,-0.2857369036665675
0e6a45c8d43b,2.2354605240645866,-1.2348169529176176,-0.18755014469331963,0.31326986138866325,0.6204685064795546,-1.023793764551283,-0.3180353200366795,1.3100661737097825,-0.5426979048839323,-0.2782696709425368,-0.3014188744833593,-0.09490156377234901
11c65598e4aa,-7.242591229212424,-1.4852980251830699,6.3505957119805965,4.182512156599561,0.931927387692396,3.2338821049352364,7.575902470812217,0.8406499062875633,-0.7818208174460632,0.06396071028236396,-0.9169824620110533,-0.8185405750194491
127a14c3f85b,-0.8480394677276306,6.129649231678882,2.5844163852259507,-0.18123546232838023,1.8345526889052826,-1.820282513618192,-0.019872159553540047,0.5522187521842933,-0.39646548091456013,-0.18643971828904377,-1.1046836129226825,1.1041416438266898
17a509e5b3fd,-0.4119872499287122,0.19611605848189612,-4.563225527734243,8.562239827880827,5.976933626252451,-0.020807307641853963,0.6242309625090245,-1.8406931619336189,0.719141641019562,-0.2546962458653551,0.8341299311985386,-0.07777570746915641
19153be7ac88,-3.278675665829074,0.3946208568107432,-0.18760746602919431,-0.19078208395604265,0.027552902906677165,0.14579416942516227,0.031208223812194586,0.42943055701012645,0.3172621084601036,-0.3689479917935787,-0.5885788834064417,0.6343053592465452
1a0b9aa571b5,-0.6580276940554607,-0.920444302938827,-0.8259085704729735,0.15693354849082303,0.241480563449462,-0.3448848504217357,0.15287449248682905,0.2589530066785012,-0.27427504042743284,-0.22903632407561955,-0.00358245543548807,-0.07863915152644628
1bd2d65d3ee4,-1.1225587896285076,-1.9121359873590358,-0.5566488032671971,-0.518863261505705,0.035386827448634944,0.14145901673827344,0.030927392859667616,0.3724616840266252,0.12778594876324995,-0.4866024097971342,-0.9179557228238776,0.6901762428465923
1c8a857523c6,-1.4323831139216587,-0.5564524565514022,-1.5045359666475246,0.14602010286850203,-0.18053487889032094,-0.14407617625621044,0.06147165396211648,-0.4735020892713057,-0.20433835593372635,-0.3738399594987518,-0.11215413358015469,0.029421792114907207
20eff1413834,-3.7121431223639436,0.10341192145009782,1.5462733126665478,-2.322465725926289,0.2859382151471864,-0.20750397379667473,0.7583735480748524,-0.6391728261371076,-1.3836810508807262,1.7039088857688285,-0.09676230768101948,-1.471059548379195
259e3b12740a,2.6757262184270814,-0.1589793217878161,-0.8948239065126481,0.6238096197766568,-0.2552072932912067,-0.8582113107095263,0.3347942137510933,0.8406319043582409,-0.3025912499566078,0.35906261527526967,0.3047322955563071,0.16061380377349171
27233c281b84,4.343460741511448,0.028118324651502963,-0.5334358086217417,0.70432060589264,-0.08372121406606144,0.39822298586988675,-0.10120431309102046,0.8721337318206334,-0.08850762015766428,0.08826304321644811,0.23853486413477715,-0.3237373400819835
277f70c6024c,4.826976551900311,-2.087502870295442,-0.6410629219206937,-0.3350302808858752,-0.9486909090294301,-0.14114355865981204,0.6021425892034213,1.927624192082206,0.08190196694980748,0.2275670989446617,-1.0751039480345732,0.33590371694132976
29abdc229bd7,-3.7201397791260042,0.7845725095926971,-0.38680552880869595,-0.4485947778032836,-0.4365135396319803,0.02567678276810681,-0.3477856411636986,-0.5388033978941296,-0.05446860825681916,-0.13161164950801418,-0.009905883423227292,-0.5735162848111448
2b6fe1934f34,-1.404969971402864,-3.6743207068765593,-1.5254804682645915,2.3350979749686895,3.1449059541040216,-1.4395651176378395,-0.17254649658854812,0.5699890360482184,0.8825583097367198,-1.1787839576284174,0.14638145779159378,-0.2376286927807139
2e1cb9ed40da,3.6131509488840643,1.7390119619656323,-0.7699893377906165,0.569078718435822,-0.29543090655074206,2.5000314325916553,-1.5008908803697052,-0.5083712420875722,-0.6316696689206255,0.3348121392849252,0.011582158952048258,-0.0023901203808723856
