cluster,0114f2a9ef8e,011952cf0a27,02b3106d73c7,03c8338d7f1d,04666163609d,07efa654691a,08565e582514,0d9678df292f,0e6a45c8d43b,11c65598e4aa,127a14c3f85b,17a509e5b3fd,19153be7ac88,1a0b9aa571b5,1bd2d65d3ee4,1c8a857523c6,20eff1413834,259e3b12740a,27233c281b84,277f70c6024c,29abdc229bd7,2b6fe1934f34,2e1cb9ed40da,2e4065ba71b8,2e8f61c97ff0,30c53527a644,31a15c8a5985,320c764758d0,3341083403f9,3395624729d9,3446f68001b1,35d9bd5323b9,38194b2cee3c,3834b65f3a70,3a04ebb76f6a,426fb012b93d,43418b1f8c9d,43c6b2a5a249,49771a22ec98,4b5a8b35b128,4d0a1993dfcd,4df4744c39fb,4f514478e276,5050e482704a,51bcc44b2656,522ec2c9ceb6,524130194799,540f95348569,56bf498d0564,5937660386d6,5b13f13a01ed,5ea12751c266,5f23ca5327cd,5f4793761400,609781c124a2,60e6d6d2541a,65e32355a97a,6906cceeeb78,6c1405ef7062,6f00c403abd0,6fadd3d6b297,71d3885d1431,71d9a9f96bca,736f2de66813,7766e16a2d4a,78d0d9825060,7a2e7beb0672,7a6739bd338e,7bd57f96a653,7d4cfc37189e,806dc54ccb69,83c7fbada9b4,84736eaf5a9d,84bc6f535519,8748f2316ba9,883788a8f885,90a0336aae39,95ee02b21baa,960038979a08,99d555540f0d,9a3b34521cfa,9c890590d367,9fa8e9422c8d,a1c7814da365,a3551673db03,a436c4d5cbeb,a97896649004,ab6c9e4d8e64,ab80ec0882ca,acb5ee1b35fd,ad7b0d773a4a,add697153a07,b1a8b5dfd391,b46938568ddc,b476034a2e3d,b6b8b829ca63,b6e12ac4aa4b,ba38270a360e,bbfd7c7fa784,bf03a8cf21da,c1244d6dea7a,c32f47bda75b,c422e08d8f19,c4a177fb3092,c5fa6b7264f9,c762bb72bd52,c8b50ccf6f9c,cc26481a6b26,ce0e3832ae5b,ceaddbf817fc,cf5c2db7d01b,d0fbcc1108d8,d15c67c0173b,d18448fa2230,d4032a0b3dea,d55816977df1,d60abb43b0bc,d8555c97f799,e00164f28d81,e1c96aca8aa9,e2972a4aa5d5,e7b153decb4b,e9ae574ff977,e9ba19111ba2,eecaa816b74b,f01cc7652e9e,f031c514ae35,f1a487408720,f695586984d6,fc6f5ded11aa,fef3a0e21aab
0,0.0,0.01,0.38,1.67,0.9,0.18,1.21,0.22,0.12,1.75,1.04,0.7,1.44,0.75,0.94,1.03,1.34,0.24,0.04,0.13,1.15,1.09,0.07,0.84,0.07,0.65,1.75,1.02,1.75,0.49,0.57,0.33,0.07,1.05,0.85,1.73,1.74,1.62,1.55,1.18,1.75,1.6,0.34,0.0,1.15,0.1,1.76,1.09,0.8,0.92,0.11,1.7,1.02,1.71,0.6,0.07,0.4,0.8,1.17,0.0,0.93,0.43,0.54,0.14,0.61,0.97,0.13,0.05,1.62,0.06,1.73,0.08,0.01,0.0,0.01,0.11,0.68,1.75,1.31,1.75,0.05,1.57,0.51,0.16,1.31,0.32,1.64,0.84,0.01,1.63,1.03,1.28,0.09,0.52,0.05,1.68,0.28,0.21,1.58,0.06,1.24,0.39,0.76,0.09,1.06,0.46,0.59,1.4,1.26,0.05,0.57,0.23,1.19,1.56,0.63,0.33,1.4,0.06,0.67,0.14,1.44,0.76,0.12,0.36,1.34,0.16,0.07,1.76,0.42,0.52,0.46
1,0.12,0.92,2.74,0.01,0.95,1.68,0.29,0.73,2.18,0.0,0.0,0.02,0.01,0.53,0.17,0.17,0.44,2.86,3.18,2.46,0.02,0.02,2.41,0.92,1.77,0.12,0.0,0.0,0.0,0.15,0.11,0.28,2.13,1.36,0.05,0.0,0.0,0.4,0.0,0.21,0.0,0.02,3.4,3.33,0.0,0.29,0.0,0.01,1.75,0.02,0.94,0.0,0.09,0.0,0.13,2.53,2.75,0.11,0.86,2.97,0.31,1.05,0.67,0.5,1.69,0.0,1.63,2.42,0.02,1.81,0.0,0.12,1.19,1.53,2.5,3.77,0.61,0.01,0.94,0.0,0.77,0.17,0.62,2.25,0.0,1.59,0.06,0.58,1.09,0.01,0.06,0.11,1.37,0.04,0.12,0.01,0.42,0.02,0.0,3.43,0.07,0.32,1.65,2.85,0.18,1.2,0.0,0.04,0.28,0.64,0.24,0.0,0.37,0.18,0.16,0.07,0.04,0.7,0.02,2.85,0.45,0.0,2.04,0.7,0.51,1.04,0.77,0.0,0.1,0.11,0.24
2,0.0,0.07,0.63,0.0,0.04,0.18,0.04,0.26,0.18,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.15,0.41,0.41,0.44,0.0,0.0,0.59,0.07,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,4.91,0.0,0.0,0.0,0.0,0.37,0.0,0.11,0.0,0.0,0.0,0.0,4.73,0.37,0.04,0.0,0.92,0.11,0.22,0.15,0.0,1.07,0.0,0.11,0.04,0.0,7.46,0.0,0.04,0.81,8.79,2.33,1.59,0.07,0.0,0.63,0.0,0.04,0.0,0.07,3.4,0.0,0.04,0.0,0.0,14.96,0.0,0.0,0.04,10.75,0.0,0.18,0.0,0.92,0.0,0.0,3.18,0.04,0.04,0.0,3.14,1.44,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,8.31,0.0,1.99,0.0,0.0,0.59,0.04,0.15,0.0,2.4,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,23.73,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.08,0.0,0.0,24.71,0.0,0.0,0.0,0.0,0.9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.25,0.0,0.0,1.72,0.16,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.33,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.08,0.08,0.0,0.0,0.0,1.31,0.16,0.0,0.08,0.0,0.41,0.0,9.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.05,0.0,0.16,26.84,0.0,0.0,0.0,0.49,0.9,0.0,0.0,0.08,0.0,0.0,0.0,0.0
5,2.49,2.06,0.93,0.12,0.97,1.31,0.64,1.29,1.63,0.0,0.02,1.54,0.43,1.27,1.15,0.99,0.46,1.26,1.35,0.99,0.24,1.0,0.88,1.01,1.37,1.44,0.0,0.02,0.0,1.82,0.81,1.95,1.06,0.54,1.33,0.03,0.02,0.09,0.3,0.72,0.0,0.21,0.69,0.39,0.91,1.42,0.0,0.99,0.57,0.48,2.16,0.08,1.06,0.07,1.33,0.71,0.95,1.36,0.62,0.5,1.05,1.56,1.49,2.27,0.92,0.26,0.76,1.43,0.19,0.51,0.03,0.43,0.61,0.06,0.18,0.81,1.25,0.01,0.23,0.0,2.07,0.22,1.17,0.76,0.05,1.64,0.16,1.15,0.3,0.19,1.04,0.28,0.19,1.86,0.24,0.11,0.64,0.27,0.27,0.98,0.67,1.85,0.83,0.62,0.34,0.93,0.08,0.53,0.57,0.18,1.7,0.04,0.74,0.18,1.08,0.93,0.53,1.34,0.43,0.57,0.3,0.05,0.67,0.7,0.38,1.94,0.68,0.0,0.69,0.89,1.84
6,0.54,1.31,1.18,0.0,0.19,2.42,0.43,3.43,0.78,0.02,0.0,0.26,0.21,0.4,0.14,0.24,0.08,0.61,1.1,1.12,0.06,0.0,1.33,0.43,1.94,0.88,0.0,0.0,0.0,0.29,0.0,0.59,2.56,0.54,0.11,0.0,0.0,0.0,0.05,0.38,0.0,0.03,0.82,3.47,0.03,0.24,0.0,0.1,1.39,0.24,0.21,0.0,0.14,0.0,1.66,2.59,0.98,0.21,0.02,3.97,0.42,0.46,0.61,0.11,0.62,0.13,5.3,1.9,0.02,3.38,0.0,0.27,1.3,0.51,2.23,1.71,0.83,0.0,0.4,0.0,1.22,0.02,2.31,2.87,0.0,0.27,0.0,0.29,1.94,0.0,0.24,0.08,3.68,0.0,1.55,0.0,0.78,0.16,0.0,1.17,0.32,0.43,0.86,1.44,2.24,0.88,0.0,0.03,0.4,0.03,0.1,0.02,0.03,0.3,2.47,0.53,0.02,0.91,0.05,3.12,0.18,0.0,4.91,0.13,0.34,0.77,2.45,0.0,0.21,0.1,0.22
