cluster,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,14.64,14.66,13.72,13.21,14.63,14.37,14.76
1,13.7,15.46,11.56,11.93,15.64,15.91,15.79
2,15.16,14.8,14.08,14.08,14.44,13.72,13.72
3,14.3,14.21,14.91,13.08,13.86,14.82,14.82
4,14.26,13.48,15.44,16.12,13.58,13.72,13.41
5,13.28,14.21,13.98,16.28,14.35,14.13,13.76
6,11.4,11.18,21.47,20.51,11.47,11.61,12.36
7,15.29,13.35,15.7,14.98,13.46,13.35,13.86
8,14.32,14.3,13.97,14.82,14.25,14.63,13.72
