cups,0,1,2,3,4,5,6,7,8
83c7fbada9b4,37.22,3.89,0.0,0.0,45.56,3.33,0.56,0.0,9.44
84736eaf5a9d,9.92,16.62,0.0,0.0,35.92,9.38,10.46,0.54,17.16
84bc6f535519,0.24,25.9,0.0,0.24,1.92,14.63,13.91,39.09,4.08
8748f2316ba9,1.09,20.13,0.0,0.0,10.5,23.85,17.29,1.09,26.04
883788a8f885,14.6,30.85,0.0,0.28,16.8,17.49,6.89,0.83,12.26
90a0336aae39,39.32,16.61,0.0,0.0,34.75,0.51,0.85,0.0,7.97
95ee02b21baa,99.41,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.29
960038979a08,47.27,21.22,0.0,0.64,7.72,6.75,2.89,0.96,12.54
99d555540f0d,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9a3b34521cfa,39.61,4.46,0.0,0.0,41.98,0.56,1.81,0.0,11.58
9c890590d367,89.97,0.15,0.0,0.0,2.31,0.0,0.0,0.0,7.56
9fa8e9422c8d,31.61,7.45,0.0,0.0,34.65,0.3,6.23,0.0,19.76
a1c7814da365,13.29,17.67,0.0,0.0,26.71,18.77,15.89,0.0,7.67
a3551673db03,97.12,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0
a436c4d5cbeb,49.03,24.03,0.0,0.0,19.17,0.56,0.14,0.0,7.08
a97896649004,92.91,0.34,0.0,0.0,0.34,0.0,1.35,0.0,5.07
ab6c9e4d8e64,68.49,6.99,0.0,0.0,17.12,0.27,0.14,0.0,6.99
ab80ec0882ca,1.23,9.18,0.0,1.37,12.6,8.49,9.18,50.41,7.53
acb5ee1b35fd,97.9,0.14,0.0,0.0,1.82,0.0,0.0,0.0,0.14
ad7b0d773a4a,80.49,0.73,0.0,0.0,13.68,0.0,0.15,0.0,4.95
add697153a07,81.5,3.5,0.0,0.25,13.0,0.0,0.0,0.25,1.5
b1a8b5dfd391,5.62,13.31,0.69,0.14,9.74,10.97,51.85,5.08,2.61
b46938568ddc,52.48,0.47,0.0,0.0,46.58,0.0,0.0,0.0,0.47
b476034a2e3d,16.24,4.57,0.0,0.0,56.35,2.03,19.29,0.51,1.02
b6b8b829ca63,98.05,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.18
b6e12ac4aa4b,40.35,6.93,0.0,3.22,26.98,5.2,3.47,2.72,11.14
ba38270a360e,61.54,1.18,0.0,1.18,31.36,0.0,0.59,0.0,4.14
bbfd7c7fa784,96.81,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0
bf03a8cf21da,8.9,41.1,0.0,0.14,20.27,17.4,3.01,0.41,8.77
c1244d6dea7a,76.14,0.35,0.0,0.0,19.65,0.0,2.11,0.18,1.58
c32f47bda75b,53.77,6.58,0.0,0.69,32.24,0.0,0.41,0.0,6.31
c422e08d8f19,55.42,2.92,0.0,0.0,7.22,0.28,2.64,0.0,31.53
c4a177fb3092,11.02,27.0,0.41,11.29,9.5,7.99,7.44,7.58,17.77
c5fa6b7264f9,61.32,0.16,0.0,0.0,9.28,3.14,17.45,2.67,5.97
c762bb72bd52,33.64,2.15,0.0,0.0,19.82,26.57,2.15,0.15,15.51
c8b50ccf6f9c,97.9,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.42
cc26481a6b26,90.17,0.32,0.0,0.0,7.13,0.16,0.0,0.0,2.22
ce0e3832ae5b,76.41,1.16,0.0,0.0,8.54,0.0,0.0,0.0,13.89
ceaddbf817fc,31.4,9.92,0.0,0.0,18.18,2.48,0.0,0.0,38.02
cf5c2db7d01b,70.59,1.96,0.0,0.0,23.68,0.15,0.15,0.0,3.47
d0fbcc1108d8,92.59,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.93
d15c67c0173b,87.07,2.5,0.0,0.0,5.56,0.14,0.0,0.0,4.73
d18448fa2230,62.43,1.06,0.0,0.0,21.69,0.0,1.06,0.0,13.76
d4032a0b3dea,31.92,0.94,0.0,0.16,50.0,0.94,8.81,0.0,7.23
d55816977df1,22.26,1.2,40.3,3.46,26.32,0.15,3.61,0.45,2.26
d60abb43b0bc,89.27,0.3,0.0,0.0,8.64,0.0,0.0,0.0,1.79
d8555c97f799,13.66,2.62,0.0,0.28,37.38,17.79,8.0,10.9,9.38
e00164f28d81,21.31,0.38,0.0,63.15,3.26,0.0,0.38,0.0,11.52
e1c96aca8aa9,8.11,23.6,0.0,0.0,21.68,18.73,1.47,0.15,26.25
e2972a4aa5d5,83.79,0.0,0.0,0.0,1.16,0.0,0.0,0.0,15.05
e7b153decb4b,99.38,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
e9ae574ff977,8.98,7.15,0.0,0.98,27.49,6.17,23.28,0.0,25.95
e9ba19111ba2,55.56,18.84,0.0,1.93,15.22,0.72,0.0,0.0,7.73
eecaa816b74b,83.65,3.16,0.0,0.0,6.18,0.96,0.27,0.0,5.77
f01cc7652e9e,22.07,13.52,0.0,0.0,43.59,0.83,1.93,0.0,18.07
f031c514ae35,9.48,5.44,0.0,0.2,39.11,32.06,3.43,0.0,10.28
f1a487408720,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f695586984d6,60.56,0.0,0.0,0.0,28.73,0.28,0.56,0.0,9.86
fc6f5ded11aa,68.57,2.42,0.0,0.0,23.3,0.22,0.44,0.0,5.05
fef3a0e21aab,53.48,3.9,0.0,0.0,36.63,0.0,0.0,0.0,5.99
