cluster,0114f2a9ef8e,011952cf0a27,02b3106d73c7,03c8338d7f1d,04666163609d,07efa654691a,08565e582514,0d9678df292f,0e6a45c8d43b,11c65598e4aa,127a14c3f85b,17a509e5b3fd,19153be7ac88,1a0b9aa571b5,1bd2d65d3ee4,1c8a857523c6,20eff1413834,259e3b12740a,27233c281b84,277f70c6024c,29abdc229bd7,2b6fe1934f34,2e1cb9ed40da,2e4065ba71b8,2e8f61c97ff0,30c53527a644,31a15c8a5985,320c764758d0,3341083403f9,3395624729d9,3446f68001b1,35d9bd5323b9,38194b2cee3c,3834b65f3a70,3a04ebb76f6a,426fb012b93d,43418b1f8c9d,43c6b2a5a249,49771a22ec98,4b5a8b35b128,4d0a1993dfcd,4df4744c39fb,4f514478e276,5050e482704a,51bcc44b2656,522ec2c9ceb6,524130194799,540f95348569,56bf498d0564,5937660386d6,5b13f13a01ed,5ea12751c266,5f23ca5327cd,5f4793761400,609781c124a2,60e6d6d2541a,65e32355a97a,6906cceeeb78,6c1405ef7062,6f00c403abd0,6fadd3d6b297,71d3885d1431,71d9a9f96bca,736f2de66813,7766e16a2d4a,78d0d9825060,7a2e7beb0672,7a6739bd338e,7bd57f96a653,7d4cfc37189e,806dc54ccb69,83c7fbada9b4,84736eaf5a9d,84bc6f535519,8748f2316ba9,883788a8f885,90a0336aae39,95ee02b21baa,960038979a08,99d555540f0d,9a3b34521cfa,9c890590d367,9fa8e9422c8d,a1c7814da365,a3551673db03,a436c4d5cbeb,a97896649004,ab6c9e4d8e64,ab80ec0882ca,acb5ee1b35fd,ad7b0d773a4a,add697153a07,b1a8b5dfd391,b46938568ddc,b476034a2e3d,b6b8b829ca63,b6e12ac4aa4b,ba38270a360e,bbfd7c7fa784,bf03a8cf21da,c1244d6dea7a,c32f47bda75b,c422e08d8f19,c4a177fb3092,c5fa6b7264f9,c762bb72bd52,c8b50ccf6f9c,cc26481a6b26,ce0e3832ae5b,ceaddbf817fc,cf5c2db7d01b,d0fbcc1108d8,d15c67c0173b,d18448fa2230,d4032a0b3dea,d55816977df1,d60abb43b0bc,d8555c97f799,e00164f28d81,e1c96aca8aa9,e2972a4aa5d5,e7b153decb4b,e9ae574ff977,e9ba19111ba2,eecaa816b74b,f01cc7652e9e,f031c514ae35,f1a487408720,f695586984d6,fc6f5ded11aa,fef3a0e21aab
0,0.18,0.13,0.52,1.88,1.16,0.17,1.27,0.18,0.65,0.21,0.29,1.07,1.39,1.21,1.63,1.35,1.17,0.5,0.15,0.23,1.15,1.89,0.2,1.22,0.39,0.92,0.02,0.15,0.06,0.66,1.0,0.92,0.21,1.05,1.41,1.49,0.15,1.43,1.37,1.37,0.81,1.53,0.56,0.01,1.59,0.41,0.01,1.62,0.93,1.06,0.96,0.29,1.51,0.82,0.91,0.09,0.5,1.35,1.53,0.03,1.52,0.96,1.05,1.41,0.9,1.04,0.03,0.09,1.41,0.05,0.36,0.17,0.1,0.0,0.01,0.28,0.61,0.89,0.38,0.02,0.74,1.52,0.54,0.25,1.06,0.92,0.72,1.31,0.02,1.82,1.44,0.85,0.11,0.88,0.08,1.45,0.43,0.27,1.74,0.17,1.13,1.02,1.04,0.21,1.02,0.57,0.61,1.49,1.38,0.1,1.22,0.26,1.63,0.31,0.53,0.39,1.56,0.26,0.29,0.14,1.51,0.42,0.17,0.6,1.59,0.42,0.12,1.12,0.56,0.81,1.0
1,0.08,0.81,2.92,0.0,1.4,3.71,0.12,0.54,2.02,0.0,0.0,0.02,0.02,0.72,0.15,0.12,0.69,3.62,3.05,1.87,0.03,0.03,3.17,1.21,0.72,0.46,0.0,0.0,0.0,0.1,0.3,0.54,2.21,0.72,0.03,0.0,0.0,0.72,0.0,0.12,0.0,0.08,3.74,2.19,0.0,0.25,0.0,0.03,0.76,0.08,1.03,0.0,0.03,0.0,0.0,2.6,3.0,0.08,1.05,2.19,0.1,0.35,0.49,0.1,2.34,0.0,0.83,2.71,0.08,2.01,0.0,0.12,1.05,1.82,1.55,3.78,1.65,0.0,1.11,0.0,0.54,0.02,0.83,2.17,0.0,2.92,0.02,0.86,1.13,0.02,0.08,0.24,1.63,0.05,0.15,0.0,0.47,0.03,0.0,5.06,0.03,0.81,0.35,3.3,0.02,0.24,0.0,0.03,0.13,0.2,0.22,0.0,0.3,0.03,0.1,0.13,0.03,0.32,0.03,2.7,0.0,0.0,0.86,1.31,0.39,1.65,0.46,0.0,0.0,0.19,0.47
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,25.28,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,26.24,0.0,0.0,0.0,0.0,0.61,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.26,0.0,0.0,1.74,0.17,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.09,0.09,0.0,0.0,0.0,1.13,0.17,0.0,0.09,0.0,0.44,0.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.01,0.0,0.17,28.68,0.0,0.0,0.0,0.61,0.7,0.0,0.0,0.09,0.0,0.0,0.0,0.0
4,4.11,3.31,1.25,0.03,0.72,1.63,0.68,2.14,1.23,0.01,0.01,2.05,0.57,0.92,0.37,0.98,0.3,1.42,1.23,1.05,0.28,0.03,0.72,0.66,1.55,2.1,0.0,0.0,0.0,2.37,0.33,1.91,1.64,0.4,1.0,0.03,0.03,0.01,0.16,0.87,0.0,0.12,0.26,0.61,0.57,1.55,0.0,0.65,0.46,0.51,1.45,0.05,0.53,0.07,1.99,1.18,0.97,1.06,0.12,0.94,0.53,1.58,1.29,0.79,0.68,0.2,1.36,1.75,0.12,0.96,0.01,0.54,0.88,0.05,0.31,0.8,1.34,0.01,0.16,0.0,1.97,0.1,1.5,1.28,0.08,0.91,0.01,0.82,0.6,0.09,0.62,0.34,0.47,1.97,0.73,0.07,0.72,0.35,0.14,0.97,0.73,1.54,0.34,0.45,0.39,0.85,0.03,0.3,0.39,0.14,1.03,0.05,0.26,0.27,2.09,1.15,0.38,1.78,0.11,0.96,0.05,0.01,1.29,0.41,0.3,2.07,1.27,0.0,0.67,0.7,1.73
5,0.04,0.07,2.11,0.0,0.3,0.82,0.07,0.59,0.52,0.0,0.0,0.04,0.0,0.11,0.07,0.0,0.11,1.71,1.37,0.89,0.0,0.0,0.74,0.22,4.78,0.07,0.0,0.0,0.0,0.04,0.0,0.11,2.63,0.48,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.56,3.38,0.0,0.0,0.0,0.0,1.82,0.0,0.45,0.0,0.04,0.0,0.11,3.45,1.08,0.04,0.07,3.6,0.3,1.82,0.37,0.52,1.67,0.0,0.74,0.33,0.0,3.26,0.0,0.22,1.3,2.26,4.04,4.71,0.11,0.0,0.78,0.0,0.15,0.0,0.07,5.08,0.0,0.15,0.0,0.07,2.3,0.0,0.0,0.0,2.97,0.0,0.15,0.0,0.78,0.0,0.0,4.71,0.0,0.0,0.07,2.15,0.74,6.42,0.0,0.04,0.0,0.11,0.04,0.0,0.04,0.0,0.22,0.04,0.0,4.78,0.0,4.71,0.0,0.0,1.63,0.11,0.26,0.22,5.9,0.0,0.04,0.04,0.0
6,0.04,0.04,1.11,0.0,0.04,0.54,0.18,1.54,1.14,0.0,0.0,0.07,0.11,0.07,0.04,0.0,0.04,0.36,0.5,0.54,0.04,0.0,1.93,0.18,1.0,0.07,0.0,0.0,0.0,0.14,0.0,0.04,2.39,0.54,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.64,7.43,0.0,0.07,0.0,0.0,0.71,0.07,0.14,0.0,0.0,0.0,0.75,2.72,1.39,0.14,0.0,4.5,0.43,0.14,0.29,0.04,0.79,0.04,5.57,1.11,0.0,6.4,0.0,0.04,1.39,2.07,2.82,1.79,0.18,0.0,0.32,0.0,0.46,0.0,1.46,4.14,0.0,0.04,0.14,0.04,2.39,0.0,0.04,0.0,13.5,0.0,1.36,0.0,0.5,0.04,0.0,0.79,0.43,0.11,0.68,1.93,3.97,0.5,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.07,2.0,0.86,0.0,2.07,0.07,0.36,0.0,0.0,5.93,0.0,0.07,0.5,0.61,0.0,0.07,0.07,0.0
7,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.31,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.1,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.2,16.62,0.51,0.61,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.51,0.0,0.0,0.1,3.77,0.0,0.1,0.0,1.12,0.0,0.0,0.31,0.1,0.0,0.0,5.61,1.73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,8.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.37,1.86,0.62,0.03,0.66,1.6,0.78,2.32,1.83,0.0,0.01,0.07,0.04,0.72,0.53,0.63,0.45,0.44,3.46,2.86,0.03,0.0,1.63,1.03,2.08,0.25,0.0,0.0,0.0,0.5,0.21,0.67,1.49,1.63,0.26,0.0,0.0,0.03,0.26,0.53,0.0,0.04,1.61,2.76,0.22,0.88,0.0,0.1,2.43,0.1,0.95,0.03,0.84,0.0,0.7,1.6,1.41,0.54,0.81,2.08,0.53,0.63,1.19,0.64,0.31,0.03,3.44,3.08,0.01,0.94,0.0,0.25,0.94,0.25,1.74,1.3,0.69,0.01,0.57,0.0,1.22,0.72,1.91,0.82,0.0,0.75,0.22,0.75,0.81,0.01,0.5,0.09,0.28,0.04,0.03,0.01,0.66,0.1,0.0,0.94,0.13,0.67,3.33,1.89,0.56,1.48,0.01,0.21,1.41,0.67,0.34,0.01,0.5,0.38,0.67,0.22,0.18,1.0,0.88,2.61,1.52,0.0,2.71,0.47,0.62,1.92,0.75,0.0,0.51,0.34,0.63
