cluster,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,14.5,14.45,14.38,13.7,14.38,14.17,14.43
1,14.36,15.29,11.26,12.65,15.4,15.58,15.45
2,13.11,12.89,16.85,16.92,13.19,13.45,13.59
3,14.84,14.49,14.49,14.13,14.13,13.78,14.13
4,14.48,13.91,15.14,12.77,13.91,15.22,14.57
5,14.36,14.41,13.64,14.26,14.4,14.64,14.29
6,12.76,11.96,19.56,19.5,12.1,12.05,12.07
